Hora,Precio,Volumen
25-02-2019 11:35:51,134.5,37.0
25-02-2019 11:35:51,134.6,44.0
25-02-2019 11:36:15,134.8,73.0
25-02-2019 11:36:20,134.9,72.0
25-02-2019 11:36:20,134.9,12.0
25-02-2019 11:36:26,134.95,237.0
25-02-2019 11:36:26,134.95,8.0
25-02-2019 11:36:26,134.9,78.0
25-02-2019 11:36:30,134.6,1000.0
25-02-2019 11:36:39,134.5,100.0
25-02-2019 11:38:07,134.5,17.0
25-02-2019 11:38:07,134.5,11.0
25-02-2019 11:38:07,134.5,348.0
25-02-2019 11:38:28,134.0,30.0
25-02-2019 11:38:28,134.0,1000.0
25-02-2019 11:38:28,134.0,500.0
25-02-2019 11:38:28,134.05,1900.0
25-02-2019 11:38:28,134.15,1000.0
25-02-2019 11:38:28,134.2,1500.0
25-02-2019 11:38:28,134.2,74.0
25-02-2019 11:38:28,134.25,1.0
25-02-2019 11:38:35,134.0,185.0
25-02-2019 11:38:38,134.0,2083.0
25-02-2019 11:38:38,134.0,2083.0
25-02-2019 11:39:17,134.65,174.0
25-02-2019 11:41:05,134.3,1000.0
25-02-2019 11:41:09,134.1,1.0
25-02-2019 11:41:14,134.1,799.0
25-02-2019 11:41:15,134.1,91.0
25-02-2019 11:41:51,134.0,1500.0
25-02-2019 11:41:51,134.0,2500.0
25-02-2019 11:41:51,134.1,800.0
25-02-2019 11:41:51,134.4,93.0
25-02-2019 11:41:53,134.0,1500.0
25-02-2019 11:42:03,133.65,6.0
25-02-2019 11:42:05,133.6,1000.0
25-02-2019 11:42:08,133.5,45.0
25-02-2019 11:42:08,133.5,2000.0
25-02-2019 11:42:31,133.95,18.0
25-02-2019 11:43:28,133.95,298.0
25-02-2019 11:43:36,133.5,1000.0
25-02-2019 11:43:56,133.25,6661.0
25-02-2019 11:43:56,133.3,2000.0
25-02-2019 11:43:56,133.35,316.0
25-02-2019 11:44:24,133.25,100.0
25-02-2019 11:44:24,133.25,100.0
25-02-2019 11:45:37,133.6,1.0
25-02-2019 11:46:00,133.6,9999.0
